date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities,ALL
2020-01-02,0.10897499999999999,-0.08121880952380951,0.18932416666666668,0.11614933333333335,0.21549047619047618,0.10702,0.18291666666666664,-0.008199999999999985,0.09603871794871796,0.6369,0.12110591551610782
2020-01-03,0.135575,-0.13176666666666664,-0.02712172727272728,0.07839166666666668,0.2622,-0.1561,-0.07075000000000001,-0.07163333333333333,0.12235312500000001,0.17303333333333334,0.007184802052785924
2020-01-06,0.20477638888888886,0.1158755637254902,0.08543969696969697,0.210562,0.32718,0.0735287037037037,-0.06097999999999999,0.08436666666666666,-0.013116666666666676,-0.048275,0.10192138685524715
2020-01-07,0.3680777777777778,0.15726849999999998,0.08984444444444444,0.140525,0.10543333333333334,0.030057142857142855,0.12726666666666667,0.3592,0.02571830357142857,0.6369,0.15322287114845937
2020-01-08,0.2213625,0.0717625,-0.0018916666666666583,0.4676833333333333,0.2777740740740741,0.03634761904761904,-0.09959999999999998,-0.10079999999999999,0.07287125,0.27973333333333333,0.12843459836459836
2020-01-09,0.16018,0.38509198412698414,0.1853475,0.3108533333333333,0.31825555555555557,0.06387000000000001,0.04242222222222222,0.0,0.133938,0.074,0.184727248015873
2020-01-10,0.03584583333333334,0.004144000000000004,0.07396200000000001,0.21935833333333332,0.25814666666666664,0.09254999999999998,-0.06887499999999999,0.05612,0.32578583333333333,0.15612083333333332,0.11174043650793651
2020-01-13,0.0015479166666666697,0.08022671428571429,0.152386,0.18059,0.1221575,0.07404583333333334,0.5681999999999999,0.44029999999999997,0.23742441666666664,-0.013250000000000003,0.1496553242481203
2020-01-14,0.13665000000000002,0.09291,0.21178499999999997,0.05149333333333332,0.32362499999999994,0.17368499999999998,0.159,0.148,0.22985333333333333,0.2927166666666667,0.17889414141414142
2020-01-15,0.0006972222222222194,0.12398214285714286,0.18452166666666664,0.10348161904761906,0.22993333333333332,-0.09173124999999997,0.17298333333333335,0.08182500000000001,0.10667566666666665,0.10289166666666667,0.1004181981981982
2020-01-16,0.16964166666666666,0.21355500000000002,0.17142380952380953,0.1047665811965812,0.12518125000000002,0.25573333333333337,0.1101,0.24766666666666667,0.2642083333333333,0.11738541666666666,0.17007723426723426
