date,combined_equal_weight,combined_min_variance,combined_max_sharpe,combined_risk_parity,combined_hrp,equity_equal_weight,equity_min_variance,equity_max_sharpe,equity_risk_parity,equity_hrp,crypto_equal_weight,crypto_min_variance,crypto_max_sharpe,crypto_risk_parity,crypto_hrp,equity_max_sharpe_tilt_vader,equity_max_sharpe_tilt_finvader
2021-01-01,,,,,,,,,,,0.011329133285298944,0.012460318266143432,-0.005561818365536863,0.011158117071919847,0.013394757902973281,,
2021-01-02,,,,,,,,,,,0.01997856708206176,0.04672408951898379,0.06456179046589801,0.024087125387351305,0.025460312395991034,,
2021-01-03,,,,,,,,,,,0.11648313458836891,0.07994870049627567,0.14016795875567697,0.11255791337126632,0.09502650587252726,,
2021-01-04,-0.003890754794180158,0.001337181859724492,0.025416075976984864,-0.0055323931911750324,-0.008743395480209538,-0.013701064199660194,0.001337535013624329,-0.003762719341000533,-0.011941389624078329,-0.011163301601603105,0.04302587474388933,0.02197895526613047,0.0378713077306096,0.039560931233710524,0.03315029670600981,-0.0032768768378332856,-0.0015898683212729986
2021-01-05,0.018935846474633634,0.0010346135174107256,0.043865763559023684,0.013478993811210732,0.006824281233563864,0.012741623294831668,0.0010346678304689774,0.00706957873149196,0.00895699171335886,0.006174053313518016,0.048157825155320876,0.03151626675640146,0.07764291979137762,0.047192886075776846,0.04251597944700544,0.008140510211671012,0.007925190480729517
2021-01-06,0.04682554464297435,0.005453807261641714,0.12054886583618038,0.033590059442561784,0.017724410253026568,0.013716586163369607,0.005454381190637663,-0.010894424886785877,0.010787611804925176,0.009130827481756667,0.19019363309393744,0.12075343287099936,0.13204136040529094,0.18133309881121862,0.17869330368537306,-0.013634828307714605,-0.012469739565406623
2021-01-07,0.007500963904495399,0.006693613703851659,0.008395338924754536,0.007757346453255286,0.006792352698859261,0.00979755852435766,0.006693500545299995,0.020189675473119686,0.008822930018330396,0.007712770478120165,-0.0025068850555913097,0.029060587982063756,0.0065425468395540285,0.00044218702921240693,0.009148102480376567,0.022087507080653747,0.021140756797306898
2021-01-08,0.0001483791362301471,-0.002041086108380382,-0.003966016818433062,0.0009771234449728909,0.0027894636945225712,0.0025391197143721156,-0.0020413441224064128,-0.003178781704124535,0.0025899752247201605,0.0025631025289069333,-0.008428588309419708,0.004636888720175127,0.016294849456011028,-0.006491614693160091,-0.00547900866189709,-0.003623164860577767,-0.004828692686529791
2021-01-09,,,,,,,,,,,0.07992079206480071,0.03947260570015432,0.03424169599235701,0.07549515700594282,0.07461484251789202,,
2021-01-10,,,,,,,,,,,-0.03004424938471311,-0.027868701710266036,-0.041652185789741905,-0.030125908227784444,-0.034287005604745964,,
2021-01-11,-0.023976108236173056,0.00011649779113203284,-0.04835159250440371,-0.017939998700017473,-0.009220195314644403,0.00024143705130121593,0.00011683668184354575,-0.0014171199085236071,-0.0008096226885127237,-0.001336135641882879,-0.126822123054615,-0.11065708722925702,-0.10598768271439094,-0.12533672934122617,-0.11968868483997594,0.0010237879963810549,0.0010974376719842024
2021-01-12,0.0014124661877677695,-7.339589772756196e-05,-0.013822315527077526,-0.0012352918033244039,-0.0037242006538610256,0.004053146990521044,-7.306907662319156e-05,-0.012920283949423883,0.0003151224639702682,-0.001651131542530001,-0.014374768661355,-0.029380798009331008,-0.02546365867129021,-0.016400999474328867,-0.018618407445412086,-0.011709663113851642,-0.010597392230125294
2021-01-13,0.014305437693911,-0.002223247181371167,0.04496812453285017,0.01037228457639432,0.004683077169212705,-0.0003666870544489757,-0.002223161319714737,-0.0002765493276518233,-8.133851612284089e-05,0.00012031967000274927,0.08238049280592016,0.08420629776113174,0.09145829374278905,0.08301821001734061,0.08233633740756563,0.0001487326134175231,-7.392850599666624e-05
2021-01-14,0.006223589963405872,0.003382285177510847,0.019551226801130236,0.004572065949304383,0.0018473034415155444,0.004186892503517239,0.0033825057213162993,-0.00927851027200928,0.0026379381946082955,0.0010864204895529805,0.018401665009803517,0.029439288743140384,0.04738197095557178,0.020133675320982057,0.02044859202406834,-0.00899439761316726,-0.00784165952467842
2021-01-15,-0.018017192270282756,-0.004527172886070035,-0.03628048911934833,-0.01306466338772623,-0.007167626392091675,-0.012468237405141813,-0.004527026492018017,-0.010698921321215643,-0.008565928568625696,-0.0058975092913074924,-0.04096622476883906,-0.04230357717944913,-0.043104963843965435,-0.04133531970654935,-0.04289521053966006,-0.012790498773213841,-0.01361645739027529
2021-01-16,,,,,,,,,,,0.03142831136056619,0.006331413842773346,0.053873209996969616,0.028924281486913034,0.01963070210094307,,
2021-01-17,,,,,,,,,,,0.008601021522056752,-0.004930124222342951,0.014815976756698601,0.007214602106568633,0.004033720199036319,,
2021-01-18,,,,,,,,,,,0.02078919046585745,0.026042321067057346,0.010749252620222395,0.02132936798573934,0.023296038262164823,,
2021-01-19,0.007738513923559627,0.009977608371087672,0.011570758484334445,0.007418572751617933,0.006668967275109603,0.007686465686841389,0.009977672137214446,0.00931588602967636,0.007407452230380297,0.00633291933751619,0.009739555911656506,0.00446309701419069,0.034336412895881414,0.009232238662001763,0.003519724989445808,0.00953733944472838,0.008963152297329616
2021-01-20,0.005089689031193295,0.014935949199274531,0.008154414741611537,0.007449681805030719,0.010508596739795366,0.007530881578070001,0.014935625261543743,0.02601026936538775,0.009643558372536696,0.010180827416380094,-0.005084207126728092,-0.00817274069968284,0.001451843421446172,-0.005447739301961308,-0.007469858476759477,0.02540109478964967,0.02534208373868343
2021-01-21,-0.03155162323514962,-0.009284782971159549,-0.0837189736223477,-0.023527842091121683,-0.013070308748903369,-0.008091989758853557,-0.009284943923936688,-6.264905726928883e-05,-0.006811641538708069,-0.006236761571609266,-0.1363214213636206,-0.12710206719887931,-0.16832483390959949,-0.13587718269004348,-0.13124691771766772,0.0025631133122975486,0.002190633527339017
2021-01-22,0.007923676220714906,-0.0009879203436820513,0.036601257250735014,0.004911799946205612,0.0009519418589284351,-0.0032570650886820864,-0.000987949458663399,-0.00697782486466086,-0.002798503834769713,-0.0022821725819823723,0.06542067991706753,0.06031207932940001,0.0987383581978933,0.06536494641200984,0.061046721371329445,-0.007552241896261443,-0.007671670946187229
2021-01-23,,,,,,,,,,,-0.003370614543124266,-0.006869543854077826,-0.013414574053416341,-0.0039933209505136815,-0.0049444604081955845,,
2021-01-24,,,,,,,,,,,0.03009713098548588,0.029562640322871488,0.06655711522981037,0.03008417419502105,0.024000149635096363,,
2021-01-25,-0.002778121855874593,0.0037295205372434126,-0.012100244034674069,-0.0001298580493718387,0.0029007237544794087,0.0017190661049002161,0.003729431788345278,0.0021469871525458028,0.0030031233966977284,0.0042081045716487984,-0.024536357019030005,-0.01646615844726827,-0.029174854932229637,-0.023652818946968305,-0.020345057589641766,0.0020850317435056214,0.0021123546642742358
2021-01-26,-0.004887780413148797,-0.0027028456223084337,0.0004220436345538252,-0.0038271527047039214,-0.0014438782885490403,-0.005633202476990918,-0.002702681114080867,-0.008590714426921813,-0.004164365133369738,-0.002629254560031931,-0.0011297461414654076,0.002479246442519414,0.013531692158772436,-0.0007422152346133681,-0.001014432289918652,-0.009025442497019845,-0.008794891137329962
2021-01-27,-0.03425224570112071,-0.021231862836027897,-0.05486322335294688,-0.031140803504768798,-0.027715799907247977,-0.02568990468095619,-0.021231555561893115,-0.039592451580087375,-0.025281799620295378,-0.02407459378662992,-0.07662081540181952,-0.0654561468060034,-0.07679293516528816,-0.0757267269408778,-0.07348751012909588,-0.03952245490533237,-0.039431360483513436
2021-01-28,0.026071046857366935,0.000778265631774816,0.06940649008166219,0.02002686419814103,0.013747100635870303,0.010414456904308634,0.0007780713056418781,0.017539922231989247,0.009131244528288545,0.00844449488325524,0.10099905186354677,0.0921824086225359,0.08396454364733578,0.09998050120556204,0.09997541257996162,0.016349310527645974,0.01590329571332312
2021-01-29,-0.007470618717091114,-0.009708387050965597,0.010055688210654978,-0.007377268200942987,-0.00913524450798241,-0.014843771101669807,-0.009708626405909925,-0.005587810769749176,-0.012474863734371813,-0.011402662798893331,0.025439361240874866,0.03800956772165817,0.026225457423973152,0.026143805638104586,0.029246393568489036,-0.0054449592476168256,-0.00541041531081648
2021-01-30,,,,,,,,,,,0.07253570940506211,0.029309843679403674,0.007377823073041778,0.06666388560356287,0.0694449934333364,,
2021-01-31,,,,,,,,,,,-0.016329349395105386,-0.01972998104684931,-0.042391719148721974,-0.017261782532352703,-0.014856005119923122,,
2021-02-01,0.010204431715737183,0.001338829409481535,0.019698455484384994,0.008661463008582141,0.008323295900859149,0.008517686014717274,0.0013388071790257283,0.00369720718924103,0.007721595388297666,0.007067604616935796,0.018638160220836718,0.010790892142759207,0.05620258825524141,0.017951284335632894,0.014730106713109974,0.005777433712385452,0.005581115939549383
