date,headlines,tickers_covered
2021-01-04,115,30
2021-01-05,108,38
2021-01-06,104,31
2021-01-07,97,37
2021-01-08,83,32
2021-01-11,138,39
2021-01-12,116,33
2021-01-13,121,33
2021-01-14,91,29
2021-01-15,123,34
2021-01-19,181,38
2021-01-20,101,33
2021-01-21,81,32
2021-01-22,87,28
2021-01-25,167,40
2021-01-26,152,32
2021-01-27,114,33
2021-01-28,141,39
2021-01-29,109,35
2021-02-01,139,41
2021-02-02,121,33
2021-02-03,113,33
2021-02-04,94,31
2021-02-05,77,36
2021-02-08,138,36
2021-02-09,91,29
2021-02-10,87,29
2021-02-11,102,37
2021-02-12,84,34
2021-02-16,145,38
2021-02-17,101,32
2021-02-18,103,35
2021-02-19,70,34
2021-02-22,115,40
2021-02-23,93,36
2021-02-24,101,37
2021-02-25,108,36
2021-02-26,78,32
2021-03-01,129,42
2021-03-02,72,30
2021-03-03,98,29
2021-03-04,82,31
2021-03-05,94,34
2021-03-08,111,38
2021-03-09,82,28
2021-03-10,94,30
2021-03-11,108,33
2021-03-12,63,29
2021-03-15,131,38
2021-03-16,87,34
2021-03-17,73,32
2021-03-18,83,34
2021-03-19,72,26
2021-03-22,81,30
2021-03-23,88,31
2021-03-24,93,29
2021-03-25,102,34
2021-03-26,95,27
2021-03-29,142,38
2021-03-30,85,33
2021-03-31,78,33
2021-04-01,80,39
2021-04-05,141,35
2021-04-06,99,30
2021-04-07,55,29
2021-04-08,91,39
2021-04-09,83,29
2021-04-12,116,35
2021-04-13,96,30
2021-04-14,149,42
2021-04-15,91,32
2021-04-16,91,26
2021-04-19,149,37
2021-04-20,106,32
2021-04-21,97,38
2021-04-22,137,36
2021-04-23,99,32
2021-04-26,131,38
2021-04-27,137,32
2021-04-28,152,37
2021-04-29,132,35
2021-04-30,135,35
2021-05-03,125,40
2021-05-04,114,35
2021-05-05,109,36
2021-05-06,73,30
2021-05-07,56,24
2021-05-10,109,38
2021-05-11,86,29
2021-05-12,81,35
2021-05-13,66,27
2021-05-14,84,25
2021-05-17,150,34
2021-05-18,115,30
2021-05-19,87,24
2021-05-20,85,31
2021-05-21,71,32
2021-05-24,119,38
2021-05-25,84,30
2021-05-26,85,32
2021-05-27,105,35
2021-05-28,78,35
2021-06-01,150,36
2021-06-02,84,34
2021-06-03,84,40
2021-06-04,67,29
2021-06-07,113,38
2021-06-08,57,30
2021-06-09,70,26
2021-06-10,101,38
2021-06-11,60,28
2021-06-14,101,38
2021-06-15,64,31
2021-06-16,89,35
2021-06-17,89,32
2021-06-18,77,33
2021-06-21,138,36
