model,neutral_share,mean,std,pos_share,neg_share
Plain VADER,0.49572311967092536,0.10561396115394045,0.28814832789802947,0.37444495900187963,0.12983192132719495
Fin-VADER (extended lexicon),0.4523822495845705,0.11694160491977446,0.31168341835615637,0.40598354626930727,0.1416342041461222
